,scopus_id,author
321,7202360542,"Langer, Jonas"
322,7103395792,"Wolff, Craig"
323,7403204471,"Jacobson, Ann"
324,55017085200,"Hall, Max"
325,24568102400,"Elliott, Rogers"
326,7201836369,"McGuire, William J."
327,7004139307,"Millman, Susan"
328,7004112944,"Triandis, Harry C."
329,7402374785,"Davis, Earl E."
330,7004095311,"Takezawa, Shin Ichi"
331,7006575462,"Siegman, Aron W."
332,24750228500,"Pope, Benjamin"
333,7006318713,"Loehlin, John C."
334,7202525295,"Matthews, Marjorie W."
335,23087316700,"Tannenbaum, Percy H."
336,6504731090,"Gaer, Eleanor P."
337,7102610887,"Koenig, Karl P."
338,7801599648,"Waly, Patricia"
339,56967768800,"Ekman, Paul"
340,24586120200,"Stone, Leroy A."
341,7005342781,"Storm, Tom"
342,57196981353,"Anthony, W. S."
343,7004667979,"Porsolt, Roger D."
344,7101861932,"Lerner, Jerome J."
345,7003905507,"Staub, Ervin"
346,6602466490,"Cottrell, Nickolas B."
347,16502378700,"Baxter, James C."
348,56948159200,"Miller, Jerome S."
349,7404928979,"Walker, Ronald E."
350,7201736728,"Hunt, William A."
351,35171312300,"Schwartz, Melvin L."
352,57203073029,"Becker, Lee A."
353,6601972166,"Minard, James G."
354,7402156122,"Bailey, Daniel E."
355,57197339880,"Wertheimer, Michael"
356,6603892367,"Butterfield, Earl C."
357,7102427575,"Powell, Fredric A."
358,6507205830,"Maliver, Bruce L."
359,57206831749,"Miller, Lyle H."
360,6506403846,"Shmavonian, Barry M."
361,6601968969,"Phares, E. Jerry"
362,7004333587,"Suedfeld, Peter"
363,7005479218,"Driver, Michael J."
364,25953282800,"Roby, Thornton B."
365,6506208537,"Budrose, Charles R."
366,6604092267,"Herron, E. Wayne"
367,25952534800,"Goldberg, Philip A."
368,24301803600,"Hicks, Jack M."
369,57210523096,"Campbell, Donald T."
370,6507761270,"Helper, Malcolm M."
371,7006508051,"Garfield, Sol L."
372,7007072259,"Silverman, Irwin"
373,6507472308,"Marcantonio, Charles"
374,35985455500,"Chesler, Mark A."
375,25956427300,"Marlowe, David"
376,6508341638,"Frager, Robert"
377,7004416119,"Nuttall, Ronald L."
378,7103305161,"Rapoport, Anatol"
379,6504212417,"Chammah, Albert M."
380,7003933598,"Kiesler, Charles A."
381,6602136892,"Corbin, Lee H."
382,10044280300,"Kolb, David A."
383,7004051322,"Lorr, Maurice"
384,7005916925,"McNair, Douglas M."
385,7101677382,"Hollander, Edwin P."
386,7005422127,"Julian, James W."
387,6602002366,"Haaland, Gordon A."
388,7202592076,"KENNEDY, WALLACE A."
389,7102943480,"Vega, Manuel"
390,23084643500,"Altus, William D."
391,6603228184,"Light, Carole S."
392,6602768702,"Zax, Melvin"
393,7101800885,"Gardiner, Dwight H."
394,7404395197,"Goldberg, Moses H."
395,7004233045,"Maccoby, Eleanor E."
396,56965151200,"WATSON, DAVID"
397,7005446503,"Bromberg, Barbara"
398,6504175227,"Rhamey, Ray"
399,7202615873,"PATTERSON, G. R."
400,7005447418,"Gunderson, E. K.Eric"
401,6603930889,"Fishman, Claire G."
402,14628292200,"Brown, Robert A."
403,7402446228,"Goldberg, Lewis R."
404,6603018569,"Rorer, Leonard G."
405,57199984089,"Jung, John"
406,6506303934,"Bruel, Iris"
407,7005009912,"Ginsberg, Stanley"
408,6503879492,"Lukomnik, Mary"
409,6602256086,"Schmeidler, Gertrude R."
410,57191396070,"Madsen, Charles H."
411,7005887860,"London, Perry"
412,16538215700,"Messick, Samuel"
413,7103308255,"Rosenthal, Ted L."
414,6602522689,"Cruse, Daniel B."
415,7003279765,"Liebert, Robert M."
416,7103023600,"Spence, Donald P."
417,6602146946,"Lanzetta, John T."
418,7202271641,"Driscoll, James M."
419,24519934500,"Rule, Brendan G."
420,24576060800,"Worell, Leonard"
421,6603402201,"Worell, Judith"
422,7202556520,"Levy, Paul"
423,57203178230,"Lang, Peter J."
424,7003569046,"Haywood, H. Carl"
425,7202610689,"Rosenthal, Robert"
426,7004292577,"Kohn, Paul M."
427,23113763600,"Greenfield, Patricia M."
428,6508364124,"Carota, Noel"
429,7006318964,"Shor, Ronald E."
430,35245779800,"O'Connell, Donald N."
431,57210510834,"Miller, Norman"
432,35123359200,"Campbell, Donald T."
433,6504455875,"Twedt, Helen"
